172.18.0.4 - - [25/Nov/2024:06:21:39 +0000] "GET /auth/realms/gpt-keycloak/.well-known/openid-configuration HTTP/1.1" 502 157 "-" "Java/23.0.1"
172.18.0.1 - - [25/Nov/2024:06:25:16 +0000] "GET /auth/realms/gpt-keycloak HTTP/1.1" 200 620 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Safari/605.1.15"
172.18.0.1 - - [25/Nov/2024:06:25:16 +0000] "GET /favicon.ico HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Safari/605.1.15"
192.168.65.1 - - [18/Apr/2025:03:40:38 +0000] "GET / HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:38 +0000] "GET /favicon.ico HTTP/1.1" 404 153 "https://localhost:7080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:46 +0000] "GET /auth/ HTTP/1.1" 404 2983 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:46 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly.min.css HTTP/1.1" 404 153 "https://localhost:7080/auth/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:46 +0000] "GET /resources/3k4f1/common/keycloak/vendor/patternfly-v5/patternfly-addons.css HTTP/1.1" 404 153 "https://localhost:7080/auth/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:46 +0000] "GET /resources/3k4f1/login/keycloak.v2/css/styles.css HTTP/1.1" 404 153 "https://localhost:7080/auth/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:46 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/passwordVisibility.js HTTP/1.1" 404 153 "https://localhost:7080/auth/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
192.168.65.1 - - [18/Apr/2025:03:40:46 +0000] "GET /resources/3k4f1/login/keycloak.v2/js/authChecker.js HTTP/1.1" 404 153 "https://localhost:7080/auth/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:137.0) Gecko/20100101 Firefox/137.0"
