id,created_at,updated_at,version,feature_id,outcome,kind,ordinal,dice_count,dice_faces,dice_bonus,dice_average,damage_type,half_damage,condition_id,escape_dc,notes
790f31f7-cabc-59fd-8177-b92b89becf26,2026-09-08T00:00:00,2026-09-08T00:00:00,0,5030981c-3aff-57d5-a158-d54a88543122,SAVE_FAILURE,DAMAGE,0,1,12,NULL,6,ACID,false,NULL,NULL,NULL
49ec581c-0326-59d3-9773-259653eaffcc,2026-09-08T00:00:00,2026-09-08T00:00:00,0,149a656d-9039-56cd-b4a6-4ed4d283fb3f,HIT,DAMAGE,0,2,6,5,12,BLUDGEONING,false,NULL,NULL,NULL
90c7b3e4-6f45-53cd-b60f-c3247896f690,2026-09-08T00:00:00,2026-09-08T00:00:00,0,149a656d-9039-56cd-b4a6-4ed4d283fb3f,HIT,APPLY_CONDITION,1,NULL,NULL,NULL,NULL,NULL,false,c04d0000-0000-4000-a000-000000000006,14,NULL
07e8b1ec-1876-5884-928c-66498ed6b0ea,2026-09-08T00:00:00,2026-09-08T00:00:00,0,8d69d00e-08f7-5ea8-8db1-8187c15c1dda,SAVE_FAILURE,DAMAGE,0,3,6,NULL,10,PSYCHIC,false,NULL,NULL,NULL
58f9ad5e-9237-589d-80c1-bb2b6ac9d9b7,2026-09-08T00:00:00,2026-09-08T00:00:00,0,8d69d00e-08f7-5ea8-8db1-8187c15c1dda,SAVE_SUCCESS,DAMAGE,1,NULL,NULL,NULL,NULL,NULL,true,NULL,NULL,NULL
8b92bdd6-47dc-5c95-a072-628f0ad1b631,2026-09-08T00:00:00,2026-09-08T00:00:00,0,de0f7a45-315d-5e44-a9ec-fc62ac90553a,SAVE_FAILURE,APPLY_CONDITION,0,NULL,NULL,NULL,NULL,NULL,false,c04d0000-0000-4000-a000-000000000002,NULL,NULL
a3529eff-031f-55f8-a7b8-3aa7c0ea3918,2026-09-08T00:00:00,2026-09-08T00:00:00,0,a6a672d6-327c-50ff-92c1-55c7472b5d42,HIT,DAMAGE,0,2,8,5,14,THUNDER,false,NULL,NULL,NULL
446dcf10-ea0d-56a3-b88b-68a09624c1e3,2026-09-08T00:00:00,2026-09-08T00:00:00,0,51e7f06b-609f-592a-98db-7811f105275d,SAVE_FAILURE,DAMAGE,0,4,10,2,24,THUNDER,false,NULL,NULL,NULL
3233b125-07a6-5d73-86ec-81add89d56b0,2026-09-08T00:00:00,2026-09-08T00:00:00,0,51e7f06b-609f-592a-98db-7811f105275d,SAVE_FAILURE,APPLY_CONDITION,1,NULL,NULL,NULL,NULL,NULL,false,c04d0000-0000-4000-a000-00000000000c,NULL,NULL
44baf258-0b5b-505c-9a20-69e9f1183587,2026-09-08T00:00:00,2026-09-08T00:00:00,0,51e7f06b-609f-592a-98db-7811f105275d,SAVE_SUCCESS,DAMAGE,2,NULL,NULL,NULL,NULL,NULL,true,NULL,NULL,NULL
8d7499ef-b4cf-5d99-a12d-6ed9a0f3c29b,2026-09-08T00:00:00,2026-09-08T00:00:00,0,55762778-bd39-5354-bade-b0c607acea58,HIT,DAMAGE,0,1,6,2,5,BLUDGEONING,false,NULL,NULL,NULL
557edc83-89ae-589f-b47a-0ddeb865ffd3,2026-09-08T00:00:00,2026-09-08T00:00:00,0,9cf83429-87e4-5931-a9b5-5bb378f4c20c,HIT,DAMAGE,0,1,8,2,6,SLASHING,false,NULL,NULL,NULL
e81bf2be-523f-5617-bb46-54e5e84c67a8,2026-09-08T00:00:00,2026-09-08T00:00:00,0,1f99eea5-5d43-534d-98a2-f51c26794846,HIT,DAMAGE,0,2,6,3,10,BLUDGEONING,false,NULL,NULL,NULL
46a82dbb-a6b2-5c99-be5b-a7fd29423b67,2026-09-08T00:00:00,2026-09-08T00:00:00,0,1f99eea5-5d43-534d-98a2-f51c26794846,HIT,DAMAGE,1,2,6,3,10,BLUDGEONING,false,NULL,NULL,NULL
a913a801-d753-5343-a005-27163c748e78,2026-09-08T00:00:00,2026-09-08T00:00:00,0,8c3d4bb1-3a4e-518e-aa8f-f71214ae52ab,HIT,DAMAGE,0,2,6,3,10,SLASHING,false,NULL,NULL,NULL
72f8692d-5c32-5a1c-94bc-1dba86fc708e,2026-09-08T00:00:00,2026-09-08T00:00:00,0,8c3d4bb1-3a4e-518e-aa8f-f71214ae52ab,HIT,DAMAGE,1,1,6,NULL,3,ACID,false,NULL,NULL,NULL
3daaca62-e706-5595-be86-b693dfe52571,2026-09-08T00:00:00,2026-09-08T00:00:00,0,8c3d4bb1-3a4e-518e-aa8f-f71214ae52ab,HIT,APPLY_CONDITION,2,NULL,NULL,NULL,NULL,NULL,false,c04d0000-0000-4000-a000-000000000006,13,NULL
af5bee12-bf6b-5418-a5d9-49adfdbbbb28,2026-09-08T00:00:00,2026-09-08T00:00:00,0,dbc0395f-a001-56b7-9f42-e1d82e1b282b,SAVE_FAILURE,DAMAGE,0,4,6,NULL,14,ACID,false,NULL,NULL,NULL
fda554e6-86b0-5451-a2b8-e985d70ec39e,2026-09-08T00:00:00,2026-09-08T00:00:00,0,dbc0395f-a001-56b7-9f42-e1d82e1b282b,SAVE_SUCCESS,DAMAGE,1,NULL,NULL,NULL,NULL,NULL,true,NULL,NULL,NULL
b1d8cc2e-f18c-51fa-90fb-c65e450615e7,2026-09-08T00:00:00,2026-09-08T00:00:00,0,1aea011b-d3eb-5ca6-a4dc-8f364758ec62,HIT,DAMAGE,0,1,6,4,7,PIERCING,false,NULL,NULL,NULL
895cbc8f-0a30-58db-b351-ec90f09cda85,2026-09-08T00:00:00,2026-09-08T00:00:00,0,1aea011b-d3eb-5ca6-a4dc-8f364758ec62,HIT,DAMAGE,1,5,6,NULL,17,POISON,false,NULL,NULL,NULL
a1f57f72-95ac-507f-a4ea-b419aea7022f,2026-09-08T00:00:00,2026-09-08T00:00:00,0,1aea011b-d3eb-5ca6-a4dc-8f364758ec62,HIT,APPLY_CONDITION,2,NULL,NULL,NULL,NULL,NULL,false,c04d0000-0000-4000-a000-00000000000b,NULL,NULL
5f0a1a11-bb91-565e-9410-defb408ff246,2026-09-08T00:00:00,2026-09-08T00:00:00,0,28e29597-6a57-5041-9f61-c33f072364d1,HIT,DAMAGE,0,1,8,4,8,PIERCING,false,NULL,NULL,NULL
